,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,State_x,Governor,Sex,DOB,Inauguration_Date,Age_at_Inauguration,Time_In_Office,Current_Age,Party,Current_Age_Whole_Yrs,Current_Age_Added_Days,Current_Age_Years,NAME,POPESTIMATE2019,State_and_Other_Areas,TotalArea_SqMi,LandArea_SqMi,Location_x,2017_Median_HHI,Med_HHI_thousands,State_y,GDP_Millions,Pct_of_US,GDP_Billions,State,SAHO_Date_Announced,SAHO_Effective_Date,Location_y,Pct_Children_0to18,Pct_Adults_19to25,Pct_Adults_26to34,Pct_Adults_35to54,Pct_Adults_55to64,Pct_65Plus,DeathsPerMillion,Population_Density,Last_Update_Converted,DOB_Converted,Inauguration_Date_Converted,SAHO_Effective_Date_Converted,Gov_Age_at_Onset,Gov_Tenure_at_Onset,SAHO_Response_Time
10,Hawaii,US,2020-07-25 04:47:52,21.0943,-157.4983,1549,26,1125.0,398.0,15,109.40254486281246,111291.0,155.0,1.6785022595222725,84000015,USA,7860.244428874927,10.006455777921241,Hawaii,David Ige,M,1/15/1957,12/1/2014,"57 years, 320 days","5 years, 238 days","63 years, 193 days",Democratic,63,193,63.52876712,Hawaii,1415872,Hawaii,10932,6423,Hawaii,"$77,765 ",77.77,Hawaii,"98,536",0.5,98.536,Hawaii,23-Mar,3/25/2020,Hawaii,23,7,12,25,13,19,18.36324187497175,220.43780165031916,2020-07-25 04:47:52,1957-01-15 00:00:00,2014-12-01 00:00:00,2020-03-25 00:00:00,63.01566767284749,61.668617425409145,64.0
11,Idaho,US,2020-07-25 04:47:52,44.2405,-114.4788,17265,144,5008.0,12113.0,16,966.1092349746652,160193.0,697.0,0.8340573414422241,84000016,USA,8964.027609516163,4.03706921517521,Idaho,Brad Little,M,2/15/1954,1/6/2019,"64 years, 325 days","1 year, 202 days","66 years, 162 days",Republican,66,162,66.44383562,Idaho,1787065,Idaho,83569,82643,Idaho,"$52,225 ",52.23,Idaho,"82,265",0.4,82.265,Idaho,25-Mar,3/25/2020,Idaho,27,9,12,24,12,16,80.57905000657503,21.623912491076073,2020-07-25 04:47:52,1954-02-15 00:00:00,2019-01-06 00:00:00,2020-03-25 00:00:00,65.93153863529025,12.484855951867594,64.0
12,Illinois,US,2020-07-25 04:47:52,40.3495,-88.9861,169696,7577,,162119.0,17,1339.1603306265138,2433765.0,,4.465043371676409,84000017,USA,19206.118836432423,,Illinois,J. B. Pritzker,M,1/19/1965,1/14/2019,"53 years, 360 days","1 year, 194 days","55 years, 189 days",Democratic,55,189,55.51780822,Illinois,12671821,Illinois,57914,55519,Illinois,"$62,992 ",62.99,Illinois,"908,913",4.2,908.913,Illinois,20-Mar,3/21/2020,Illinois,24,9,12,26,13,15,597.9408957875904,228.24296186890973,2020-07-25 04:47:52,1965-01-19 00:00:00,2019-01-14 00:00:00,2020-03-21 00:00:00,55.00455177039912,12.222016879196698,60.0
13,Indiana,US,2020-07-25 04:47:52,39.8494,-86.2583,60598,2884,43066.0,14648.0,18,900.1192623115796,678749.0,8128.0,4.7592329779860725,84000018,USA,10082.099230580583,13.412983926862273,Indiana,Eric Holcomb,M,5/2/1968,1/9/2017,"48 years, 252 days","3 years, 199 days","52 years, 85 days",Republican,52,85,52.23287671,Indiana,6732219,Indiana,36420,35826,Indiana,"$54,181 ",54.18,Indiana,"381,733",1.8,381.733,Indiana,23-Mar,3/24/2020,Indiana,25,9,12,25,13,16,428.3877277313766,187.9143359571261,2020-07-25 04:47:52,1968-05-02 00:00:00,2017-01-09 00:00:00,2020-03-24 00:00:00,51.7218012690199,36.370356680835336,63.0
14,Iowa,US,2020-07-25 04:47:52,42.0115,-93.2105,41434,826,29216.0,11392.0,19,1313.251370017147,441873.0,,1.9935318820292516,84000019,USA,14005.172626914775,,Iowa,Kim Reynolds,F,8/4/1959,5/24/2017,"57 years, 293 days","3 years, 63 days","60 years, 357 days",Republican,60,357,60.97808219,Iowa,3155070,Iowa,56273,55857,Iowa,"$58,570 ",58.57,Iowa,"197,172",0.9,197.172,Iowa,,,Iowa,25,9,12,24,13,17,261.8008475247776,56.48477361834685,2020-07-25 04:47:52,1959-08-04 00:00:00,2017-05-24 00:00:00,2020-07-24 00:00:00,60.46667624934119,31.934947329513953,185.0
15,Kansas,US,2020-07-25 04:47:52,38.5266,-96.7265,24554,330,1077.0,23147.0,20,842.8202383951747,277967.0,1596.0,1.3439765415003666,84000020,USA,9541.264690314878,6.4999592734381375,Kansas,Laura Kelly,F,1/24/1950,1/14/2019,"68 years, 355 days","1 year, 194 days","70 years, 184 days",Democratic,70,184,70.50410959,Kansas,2913314,Kansas,82278,81759,Kansas,"$56,422 ",56.42,Kansas,"175,703",0.8,175.703,Kansas,28-Mar,3/30/2020,Kansas,26,9,12,24,13,16,113.27306291048613,35.63294560843455,2020-07-25 04:47:52,1950-01-24 00:00:00,2019-01-14 00:00:00,2020-03-30 00:00:00,69.99185472665421,12.222016879196698,69.0
16,Kentucky,US,2020-07-25 04:47:52,37.6681,-84.6701,25932,691,7396.0,17845.0,21,580.4363927261462,533476.0,3248.0,2.664661422181089,84000021,USA,11940.802292379052,12.52506555606972,Kentucky,Andy Beshear,M,11/29/1977,12/10/2019,"42 years, 11 days",229 days,"42 years, 240 days",Democratic,42,240,42.65753425,Kentucky,4467673,Kentucky,40408,39486,Kentucky,"$48,375 ",48.38,Kentucky,"217,564",1.0,217.56400000000002,Kentucky,22-Mar,3/26/2020,Kentucky,24,9,12,26,14,16,154.6666463727314,113.14574786000101,2020-07-25 04:47:52,1977-11-29 00:00:00,2019-12-10 00:00:00,2020-03-26 00:00:00,42.1446025585741,1.379905131522208,65.0
17,Louisiana,US,2020-07-25 04:47:52,31.1695,-91.8678,103734,3715,61456.0,38563.0,22,2231.417438587298,1199726.0,,3.5812751846067825,84000022,USA,25807.252375562348,,Louisiana,John Bel Edwards,M,9/16/1966,1/11/2016,"49 years, 117 days","4 years, 197 days","53 years, 314 days",Democratic,53,314,53.86027397,Louisiana,4648794,Louisiana,52378,43204,Louisiana,"$46,145 ",46.15,Louisiana,"267,051",1.2,267.051,Louisiana,22-Mar,3/23/2020,Louisiana,25,9,12,25,13,15,799.1319899311521,107.60100916581798,2020-07-25 04:47:52,1966-09-16 00:00:00,2016-01-11 00:00:00,2020-03-23 00:00:00,53.34811803117107,48.32953448736114,62.0
18,Maine,US,2020-07-25 04:47:52,44.6939,-69.3819,3757,118,3259.0,380.0,23,279.49460352980043,150620.0,378.0,3.140803832845356,84000023,USA,11205.077770470727,10.06121905775885,Maine,Janet Mills,F,12/30/1947,1/2/2019,"71 years, 3 days","1 year, 206 days","72 years, 209 days",Democratic,72,209,72.57260274,Maine,1344212,Maine,35380,30843,Maine,"$56,277 ",56.28,Maine,"68,441",0.3,68.441,Maine,31-Mar,4/2/2020,Maine,19,7,11,26,16,21,87.783772202599,43.58240119313945,2020-07-25 04:47:52,1947-12-30 00:00:00,2019-01-02 00:00:00,2020-04-02 00:00:00,72.06171242393752,12.616275488203042,72.0
19,Maryland,US,2020-07-25 04:47:52,39.0639,-76.8021,81766,3422,5434.0,72910.0,24,1352.4698627780494,804350.0,12119.0,4.185113616906783,84000024,USA,13304.541424620556,14.821563975246436,Maryland,Larry Hogan,M,5/25/1956,1/21/2015,"58 years, 241 days","5 years, 187 days","64 years, 62 days",Republican,64,62,64.16986301,Maryland,6045680,Maryland,12406,9707,Maryland,"$80,776 ",80.78,Maryland,"434,312",2.0,434.31199999999995,Maryland,30-Mar,3/30/2020,Maryland,23,8,12,27,14,15,566.0240039168464,622.8165241578242,2020-07-25 04:47:52,1956-05-25 00:00:00,2015-01-21 00:00:00,2020-03-30 00:00:00,63.65907581948979,59.99301833713218,69.0
20,Massachusetts,US,2020-07-25 04:47:52,42.2302,-71.5301,114985,8498,96452.0,10035.0,25,1668.2618781595017,1086252.0,11770.0,7.390529199460799,84000025,USA,15759.906089268296,10.236117754489717,Massachusetts,Charlie Baker,M,11/13/1956,1/8/2015,"58 years, 56 days","5 years, 200 days","63 years, 256 days",Republican,63,256,63.70136986,Massachusetts,6892503,Massachusetts,10554,7800,Massachusetts,"$77,385 ",77.39,Massachusetts,"604,208",2.8,604.2080000000001,Massachusetts,23-Mar,3/24/2020,Massachusetts,21,9,13,26,14,17,1232.9338122885113,883.6542307692308,2020-07-25 04:47:52,1956-11-13 00:00:00,2015-01-08 00:00:00,2020-03-24 00:00:00,63.18815581428777,60.42013183022239,63.0
21,Michigan,US,2020-07-25 04:47:52,43.3266,-84.5361,85072,6400,55162.0,23510.0,26,851.8395727504659,1614646.0,,7.523039307880384,84000026,USA,16167.709220228147,,Michigan,Gretchen Whitmer,F,8/23/1971,1/1/2019,"47 years, 131 days","1 year, 207 days","48 years, 338 days",Democratic,48,338,48.926027399999995,Michigan,9986857,Michigan,96714,56539,Michigan,"$54,909 ",54.91,Michigan,"548,567",2.5,548.567,Michigan,23-Mar,3/24/2020,Michigan,23,9,12,25,14,17,640.8422589809786,176.63660482145067,2020-07-25 04:47:52,1971-08-23 00:00:00,2019-01-01 00:00:00,2020-03-24 00:00:00,48.41440960457778,12.649130372286905,63.0
22,Minnesota,US,2020-07-25 04:47:52,45.6945,-93.9002,49488,1606,42882.0,5000.0,27,877.5040640949624,922876.0,4852.0,3.2452311671516325,84000027,USA,16364.117375034399,9.804397025541546,Minnesota,Tim Walz,M,4/6/1964,1/7/2019,"54 years, 276 days","1 year, 201 days","56 years, 111 days",Democratic,56,111,56.30410959,Minnesota,5639632,Minnesota,86936,79627,Minnesota,"$68,388 ",68.39,Minnesota,"385,907",1.8,385.907,Minnesota,25-Mar,3/27/2020,Minnesota,24,8,13,25,14,16,284.77035381031953,70.82562447411054,2020-07-25 04:47:52,1964-04-06 00:00:00,2019-01-07 00:00:00,2020-03-27 00:00:00,55.79306898841181,12.452001067783733,66.0
23,Mississippi,US,2020-07-25 04:47:52,32.7416,-89.6787,49585,1463,30315.0,17807.0,28,1666.0792184799884,411480.0,3923.0,2.950489059191288,84000028,USA,13825.920678030569,7.911666834728244,Mississippi,Tate Reeves,M,6/5/1974,1/14/2020,"45 years, 223 days",194 days,"46 years, 51 days",Republican,46,51,46.13972603,Mississippi,2976149,Mississippi,48432,46923,Mississippi,"$43,529 ",43.53,Mississippi,"120,429",0.6,120.429,Mississippi,31-Mar,4/3/2020,Mississippi,26,9,11,25,13,16,491.5748505871178,63.42623020693477,2020-07-25 04:47:52,1974-06-05 00:00:00,2020-01-14 00:00:00,2020-04-03 00:00:00,45.62995817847047,0.22998418858703465,73.0
24,Missouri,US,2020-07-25 04:47:52,38.4561,-92.2884,39635,1195,,38440.0,29,645.7916899391732,612615.0,,3.01501198435726,84000029,USA,9981.624224349353,,Missouri,Mike Parson,M,9/17/1955,6/1/2018,"62 years, 257 days","2 years, 55 days","64 years, 313 days",Republican,64,313,64.85753425,Missouri,6137428,Missouri,69707,68742,Missouri,"$53,578 ",53.58,Missouri,"336,816",1.6,336.816,Missouri,3-Apr,4/6/2020,Missouri,24,9,12,25,14,17,194.7069684564935,89.28206918623258,2020-07-25 04:47:52,1955-09-17 00:00:00,2018-06-01 00:00:00,2020-04-06 00:00:00,64.3462904782439,19.68007556623339,76.0
25,Montana,US,2020-07-25 04:47:52,46.9219,-110.4544,3038,46,1815.0,1177.0,30,284.24986292756773,149200.0,191.0,1.5141540487162608,84000030,USA,13959.868185909516,6.287030941408823,Montana,Steve Bullock,M,4/11/1966,1/7/2013,"46 years, 271 days","7 years, 201 days","54 years, 106 days",Democratic,54,106,54.29041096,Montana,1068778,Montana,147040,145546,Montana,"$53,386 ",53.39,Montana,"52,948",0.2,52.948,Montana,26-Mar,3/28/2020,Montana,23,8,11,24,15,19,43.03980807988189,7.343231693072981,2020-07-25 04:47:52,1966-04-11 00:00:00,2013-01-07 00:00:00,2020-03-28 00:00:00,53.780707338275256,84.43705209552557,67.0
26,Nebraska,US,2020-07-25 04:47:52,41.1254,-98.2681,24174,316,17745.0,6113.0,31,1249.684658045252,249074.0,1548.0,1.30718954248366,84000031,USA,12875.980661783864,6.403574087862992,Nebraska,Pete Ricketts,M,8/19/1964,1/8/2015,"50 years, 142 days","5 years, 200 days","55 years, 342 days",Republican,55,342,55.9369863,Nebraska,1934408,Nebraska,77348,76824,Nebraska,"$59,970 ",59.97,Nebraska,"129,098",0.6,129.09799999999998,Nebraska,,,Nebraska,26,9,12,25,13,16,163.35747163990223,25.17973549932313,2020-07-25 04:47:52,1964-08-19 00:00:00,2015-01-08 00:00:00,2020-07-24 00:00:00,55.423451542468364,60.42013183022239,185.0
27,Nevada,US,2020-07-25 04:47:52,38.3135,-117.0554,40885,722,994.0,39169.0,32,1327.367834616169,421871.0,,1.765928824752354,84000032,USA,13696.416674999578,,Nevada,Steve Sisolak,M,12/26/1953,1/7/2019,"65 years, 12 days","1 year, 201 days","66 years, 213 days",Democratic,66,213,66.58356164,Nevada,3080156,Nevada,110572,109781,Nevada,"$58,003 ",58.0,Nevada,"180,406",0.8,180.40599999999998,Nevada,1-Apr,4/1/2020,Nevada,24,8,13,27,13,16,234.4037120197808,28.057277670999536,2020-07-25 04:47:52,1953-12-26 00:00:00,2019-01-07 00:00:00,2020-04-01 00:00:00,66.07117189264666,12.452001067783733,71.0
28,New Hampshire,US,2020-07-25 04:47:52,43.4525,-71.5639,6375,407,5345.0,623.0,33,468.84963054649114,149792.0,681.0,6.3843137254901965,84000033,USA,11016.458644520784,10.68235294117647,New Hampshire,Chris Sununu,M,11/5/1974,1/5/2017,"42 years, 61 days","3 years, 203 days","45 years, 264 days",Republican,45,264,45.72328767,New Hampshire,1359711,New Hampshire,9349,8953,New Hampshire,"$73,381 ",73.38,New Hampshire,"89,836",0.4,89.836,New Hampshire,26-Mar,3/27/2020,New Hampshire,20,8,11,26,16,18,299.3283131488971,151.87210990729363,2020-07-25 04:47:52,1974-11-05 00:00:00,2017-01-05 00:00:00,2020-03-27 00:00:00,45.21105840640123,36.501776217170786,66.0
29,New Jersey,US,2020-07-25 04:47:52,40.2989,-74.521,178345,15765,32001.0,130579.0,34,2007.8944494544699,1887644.0,21184.0,8.839608623734895,84000034,USA,21252.011046825162,11.87810143261656,New Jersey,Phil Murphy,M,8/16/1957,1/16/2018,"60 years, 153 days","2 years, 192 days","62 years, 345 days",Democratic,62,345,62.94520548,New Jersey,8882190,New Jersey,8723,7354,New Jersey,"$80,088 ",80.09,New Jersey,"652,412",3.0,652.4119999999999,New Jersey,20-Mar,3/21/2020,New Jersey,23,8,11,27,14,16,1774.9001090947165,1207.803916236062,2020-07-25 04:47:52,1957-08-16 00:00:00,2018-01-16 00:00:00,2020-03-21 00:00:00,62.43249348035894,24.148339801638638,60.0
30,New Mexico,US,2020-07-25 04:47:52,34.8405,-106.2485,18475,601,7056.0,10818.0,35,881.092354216772,496985.0,2500.0,3.2530446549391066,84000035,USA,23701.74201138958,13.531799729364007,New Mexico,Michelle Lujan Grisham,F,10/24/1959,1/1/2019,"59 years, 69 days","1 year, 207 days","60 years, 276 days",Democratic,60,276,60.75616438,New Mexico,2096829,New Mexico,121590,121298,New Mexico,"$46,744 ",46.74,New Mexico,"105,263",0.5,105.26299999999999,New Mexico,23-Mar,3/24/2020,New Mexico,24,9,12,24,13,18,286.62327733925844,17.286591699780704,2020-07-25 04:47:52,1959-10-24 00:00:00,2019-01-01 00:00:00,2020-03-24 00:00:00,60.244905781775124,12.649130372286905,63.0
31,New York,US,2020-07-25 04:47:52,42.1657,-74.9481,410450,32596,72552.0,305302.0,36,2109.8964863039732,5444845.0,89995.0,7.9415275916676835,84000036,USA,27988.937346740786,21.92593494944573,New York,Andrew Cuomo,M,12/6/1957,1/1/2011,"53 years, 26 days","9 years, 207 days","62 years, 233 days",Democratic,62,233,62.63835616,New York,19453561,New York,54555,47126,New York,"$64,894 ",64.89,New York,"1,751,674",8.1,1751.674,New York,20-Mar,3/22/2020,New York,22,9,13,26,14,16,1675.5801161545694,412.79890081908076,2020-07-25 04:47:52,1957-12-06 00:00:00,2011-01-01 00:00:00,2020-03-22 00:00:00,62.12584789557623,108.65110166533194,61.0
32,North Carolina,US,2020-07-25 04:47:52,35.6301,-79.8064,109728,1789,78707.0,29232.0,37,1046.2158769895436,1550297.0,,1.6303951589384658,84000037,USA,14781.50823353436,,North Carolina,Roy Cooper,M,6/13/1957,1/1/2017,"59 years, 202 days","3 years, 207 days","63 years, 43 days",Democratic,63,43,63.11780822,North Carolina,10488084,North Carolina,53819,48618,North Carolina,"$52,752 ",52.75,North Carolina,"596,383",2.7,596.383,North Carolina,27-Mar,3/30/2020,North Carolina,24,8,12,26,13,16,170.57453010483133,215.72429964210787,2020-07-25 04:47:52,1957-06-13 00:00:00,2017-01-01 00:00:00,2020-03-30 00:00:00,62.60771952880621,36.63319575350623,69.0
33,North Dakota,US,2020-07-25 04:47:52,47.5289,-99.784,5614,99,4545.0,970.0,38,736.6854665368436,142708.0,325.0,1.7634485215532598,84000038,USA,18726.560306116822,5.789098681866761,North Dakota,Doug Burgum,M,8/1/1956,12/15/2016,"60 years, 136 days","3 years, 224 days","63 years, 360 days",Republican,63,360,63.98630137,North Dakota,762062,North Dakota,70698,69001,North Dakota,"$61,843 ",61.84,North Dakota,"57,400",0.3,57.4,North Dakota,,,North Dakota,24,11,14,23,13,15,129.91068968141698,11.044216750481876,2020-07-25 04:47:52,1956-08-01 00:00:00,2016-12-15 00:00:00,2020-07-24 00:00:00,63.472898143014575,37.19172878293189,185.0
34,Ohio,US,2020-07-25 04:47:52,40.3888,-82.7649,81746,3297,56823.0,21626.0,39,699.3352781651282,1267628.0,10072.0,4.033224867271793,84000039,USA,10844.530374451413,12.321092163530937,Ohio,Mike DeWine,M,1/5/1947,1/14/2019,"72 years, 9 days","1 year, 194 days","73 years, 203 days",Republican,73,203,73.55616438,Ohio,11689100,Ohio,44826,40861,Ohio,"$54,021 ",54.02,Ohio,"706,764",3.3,706.7639999999999,Ohio,22-Mar,3/23/2020,Ohio,23,9,12,25,14,17,282.05764344560316,286.0698465529478,2020-07-25 04:47:52,1947-01-05 00:00:00,2019-01-14 00:00:00,2020-03-23 00:00:00,73.0446210394464,12.222016879196698,62.0
35,Oklahoma,US,2020-07-25 04:47:52,35.5653,-96.9289,29116,484,23277.0,5355.0,40,735.8153496702404,523042.0,2687.0,1.6623162522324495,84000040,USA,13218.24193303413,9.228602830059074,Oklahoma,Kevin Stitt,M,12/28/1972,1/14/2019,"46 years, 17 days","1 year, 194 days","47 years, 211 days",Republican,47,211,47.57808219,Oklahoma,3956971,Oklahoma,69899,68595,Oklahoma,"$50,051 ",50.05,Oklahoma,"207,381",1.0,207.38099999999997,Oklahoma,,,Oklahoma,26,9,13,24,13,16,122.31578143989431,57.68599752168525,2020-07-25 04:47:52,1972-12-28 00:00:00,2019-01-14 00:00:00,2020-07-24 00:00:00,47.06462145013245,12.222016879196698,185.0
36,Oregon,US,2020-07-25 04:47:52,44.572,-122.0709,16104,282,3541.0,12281.0,41,381.816125566862,366567.0,1474.0,1.7511177347242919,84000041,USA,8691.082445396667,9.153005464480874,Oregon,Kate Brown,F,6/21/1960,2/18/2015,"54 years, 242 days","5 years, 159 days","60 years, 35 days",Democratic,60,35,60.09589041,Oregon,4217737,Oregon,98379,95988,Oregon,"$60,212 ",60.21,Oregon,"255,418",1.2,255.418,Oregon,23-Mar,3/23/2020,Oregon,22,8,13,26,13,18,66.86049888838494,43.9402529482852,2020-07-25 04:47:52,1960-06-21 00:00:00,2015-02-18 00:00:00,2020-03-23 00:00:00,59.58507019309089,59.07308158278404,62.0
